,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4
1199911010用户数据,0.63011673,0.579850102,0.611682142,0.616490949,0.594528538,0.611439307,0.614247929,0.59576494,0.6031183,0.63888502,0.592556641,0.561888519,0.511925155,0.642459013,0.560453119,0.59513431,0.624923026,0.599633473,0.566436791,0.536461313
1204443113用户数据,0.614247929,0.590528381,0.324512899,0.440826316,0.593093784,0.614247929,0.694051253,0.608071489,0.66773832,0.62535322,0.576891208,0.592224481,0.631599779,0.563716596,0.603421952,0.727134073,0.554796974,0.596381347,0.594182293,0.575239481
1217215843用户数据,0.597055008,0.490949305,0.574692744,0.611442782,0.599590347,0.602725579,0.607188464,0.59529011,0.594648883,0.590758924,0.647493493,0.625679839,0.583263477,0.595476827,0.604792142,0.594842681,0.754147049,0.608105118,0.599578715,0.593461146
1224926552用户数据,0.584732914,0.573313211,0.588348083,0.582015264,0.605971249,0.576632569,0.584901292,0.59122496,0.582149136,0.600235477,0.583135763,0.591452389,0.596149109,0.5902087,0.599142438,0.592694694,0.585663144,0.569952544,0.5939864,0.585459101
1230264595用户数据,0.608042253,0.599401228,0.596998308,0.600079582,0.591459506,0.578728089,0.585443775,0.604235717,0.615509546,0.59726141,0.605331682,0.599152657,0.598573342,0.614285077,0.598655204,0.611621878,0.605527148,0.591506938,0.580563872,0.577476313
1238367000用户数据,0.602425358,0.593431338,0.561571229,0.583622219,0.582233815,0.59164143,0.582180153,0.577535255,0.594598856,0.596334674,0.601447309,0.582025533,0.590958064,0.598035507,0.595686629,0.586138809,0.580122379,0.592666392,0.580739609,0.58755498
1243145811用户数据,0.582475541,0.591314161,0.59971881,0.570374663,0.595973954,0.615086031,0.57017861,0.614247929,0.623809557,0.583684976,0.583910331,0.614247929,0.578535858,0.586275802,0.588838945,0.591897724,0.568542837,0.586291598,0.613823014,0.563243157
1245495240用户数据,0.640384909,0.608135338,0.612950741,0.623451869,0.614247929,0.618221782,0.62408959,0.623580468,0.597485437,0.655034596,0.601636621,0.63761599,0.605834231,0.58265417,0.629361044,0.629885623,0.63741004,0.61815424,0.645270267,0.736077994
1245797004用户数据,0.600147722,0.598305088,0.584617149,0.629925141,0.589677597,0.635577658,0.597204614,0.598802966,0.603886594,0.604609064,0.583116594,0.575603723,0.625000856,0.5705943,0.582829748,0.590676208,0.58811332,0.60457785,0.589038508,0.598416313
1247578817用户数据,0.584255031,0.648197379,0.579260098,0.614915741,0.589958988,0.617043064,0.537681323,0.58227644,0.587925987,0.533224618,0.614526212,0.714025757,0.613119934,0.615930147,0.635608902,0.635678217,0.618648994,0.661999722,0.716388613,0.646024805
